condition	count
BIOID2_DMSO_DMSO_vs_BIOID2_MG132_DMSO	37
BIOID2_DMSO_DMSO_vs_BIOID2GID4_DMSO_DMSO	55
BIOID2_DMSO_DMSO_vs_BIOID2GID4_DMSO_PFI7	21
BIOID2_DMSO_DMSO_vs_BIOID2GID4_MG132_DMSO	145
BIOID2_DMSO_DMSO_vs_BIOID2GID4_MG132_PFI7	99
BIOID2_MG132_DMSO_vs_BIOID2GID4_DMSO_DMSO	97
BIOID2_MG132_DMSO_vs_BIOID2GID4_DMSO_PFI7	162
BIOID2_MG132_DMSO_vs_BIOID2GID4_MG132_DMSO	62
BIOID2_MG132_DMSO_vs_BIOID2GID4_MG132_PFI7	59
BIOID2GID4_DMSO_DMSO_vs_BIOID2GID4_DMSO_PFI7	59
BIOID2GID4_DMSO_DMSO_vs_BIOID2GID4_MG132_DMSO	148
BIOID2GID4_DMSO_DMSO_vs_BIOID2GID4_MG132_PFI7	131
BIOID2GID4_DMSO_PFI7_vs_BIOID2GID4_MG132_PFI7	102
BIOID2GID4_MG132_DMSO_vs_BIOID2GID4_DMSO_PFI7	128
BIOID2GID4_MG132_DMSO_vs_BIOID2GID4_MG132_PFI7	15
